,nBalls,meanGap,nBins,batchPercentage,beta
0,100,2.84,100,0.01,0.25
1,1000,6.395,100,0.01,0.25
2,10000,9.615,100,0.01,0.25
3,100,2.89,100,0.05,0.25
4,1000,6.28,100,0.05,0.25
5,10000,10.67,100,0.05,0.25
6,100,2.755,100,0.1,0.25
7,1000,6.525,100,0.1,0.25
8,10000,11.145,100,0.1,0.25
9,100,3.04,100,0.5,0.25
10,1000,7.385,100,0.5,0.25
11,10000,19.1,100,0.5,0.25
12,100,3.2,100,1.0,0.25
13,1000,8.765,100,1.0,0.25
14,10000,26.5,100,1.0,0.25
15,100,2.39,100,0.01,0.5
16,1000,4.235,100,0.01,0.5
17,10000,4.885,100,0.01,0.5
18,100,2.415,100,0.05,0.5
19,1000,4.565,100,0.05,0.5
20,10000,6.715,100,0.05,0.5
21,100,2.505,100,0.1,0.5
22,1000,4.59,100,0.1,0.5
23,10000,9.095,100,0.1,0.5
24,100,2.755,100,0.5,0.5
25,1000,6.675,100,0.5,0.5
26,10000,27.785,100,0.5,0.5
27,100,3.275,100,1.0,0.5
28,1000,8.89,100,1.0,0.5
29,10000,25.615,100,1.0,0.5
30,100,2.13,100,0.01,0.75
31,1000,2.815,100,0.01,0.75
32,10000,3.55,100,0.01,0.75
33,100,2.17,100,0.05,0.75
34,1000,3.195,100,0.05,0.75
35,10000,6.69,100,0.05,0.75
36,100,2.14,100,0.1,0.75
37,1000,3.585,100,0.1,0.75
38,10000,10.36,100,0.1,0.75
39,100,2.66,100,0.5,0.75
40,1000,6.87,100,0.5,0.75
41,10000,38.48,100,0.5,0.75
42,100,3.175,100,1.0,0.75
43,1000,8.75,100,1.0,0.75
44,10000,25.55,100,1.0,0.75
