,nBalls,meanGap,nBins,batchPercentage,beta,std
0,100,1.29,10000,0.01,0.25,0.4594075275633928
1,1000,2.474999999999999,10000,0.01,0.25,0.5056216632341402
2,10000,5.07,10000,0.01,0.25,0.6458993185073362
3,100000,10.835,10000,0.01,0.25,1.1894743571137447
4,1000000,18.175,10000,0.01,0.25,2.3964745882778113
5,10000000,19.98,10000,0.01,0.25,2.3680452256987774
6,100000000,46.445,10000,0.01,0.25,4.112363391447378
7,100,1.33,10000,0.05,0.25,0.474897502826615
8,1000,2.5999999999999988,10000,0.05,0.25,0.5304781194129305
9,10000,4.995,10000,0.05,0.25,0.5802226223246439
10,100000,10.845,10000,0.05,0.25,1.1652312298833556
11,1000000,18.65,10000,0.05,0.25,2.4571708207226974
12,10000000,30.97,10000,0.05,0.25,2.5557305793001444
13,100000000,136.2,10000,0.05,0.25,8.465122058026479
14,100,1.305,10000,0.1,0.25,0.4656815397698432
15,1000,2.4699999999999993,10000,0.1,0.25,0.5445942660117387
16,10000,5.045,10000,0.1,0.25,0.6204026897809496
17,100000,11.24,10000,0.1,0.25,1.216469890698029
18,1000000,19.43,10000,0.1,0.25,1.9192492250720588
19,10000000,46.325,10000,0.1,0.25,3.7723371586048553
20,100000000,251.31,10000,0.1,0.25,12.829531730430014
21,100,1.345,10000,0.5,0.25,0.47971411084176324
22,1000,2.654999999999999,10000,0.5,0.25,0.4961915256740624
23,10000,5.295,10000,0.5,0.25,0.6324356681685966
24,100000,12.33,10000,0.5,0.25,1.3749737320469417
25,1000000,30.735,10000,0.5,0.25,2.628558846219768
26,10000000,156.89,10000,0.5,0.25,9.252890353802831
27,100000000,1289.005,10000,0.5,0.25,31.06816909077949
28,100,1.44,10000,1.0,0.25,0.5087179669023361
29,1000,2.6649999999999987,10000,1.0,0.25,0.5109602743952315
30,10000,5.575,10000,1.0,0.25,0.6215356246131968
31,100000,14.365,10000,1.0,0.25,1.3861392100174277
32,1000000,40.9,10000,1.0,0.25,3.3355101769749584
33,10000000,124.55,10000,1.0,0.25,10.34517341881356
34,100000000,388.165,10000,1.0,0.25,33.70680224506531
35,100,1.21,10000,0.01,0.5,0.41528581911472606
36,1000,2.2399999999999993,10000,0.01,0.5,0.48536366720968743
37,10000,4.415,10000,0.01,0.5,0.6282903339369411
38,100000,7.53,10000,0.01,0.5,0.8676775447181057
39,1000000,8.69,10000,0.01,0.5,1.0908021113983764
40,10000000,15.025,10000,0.01,0.5,1.4228483712037574
41,100000000,62.785,10000,0.01,0.5,4.814005425963501
42,100,1.215,10000,0.05,0.5,0.4186302142480964
43,1000,2.2699999999999996,10000,0.05,0.5,0.494288992432768
