,nBalls,meanGap,nBins,batchPercentage,beta,std
0,100,1.9549999999999996,1000,0.01,0.25,0.33546637453284506
1,1000,3.945,1000,0.01,0.25,0.6813930454679299
2,10000,8.69,1000,0.01,0.25,1.3086108327374448
3,100000,13.875,1000,0.01,0.25,2.246018252363446
4,1000000,15.41,1000,0.01,0.25,2.1412202410315047
5,100,1.9799999999999998,1000,0.05,0.25,0.36643056202221946
6,1000,4.02,1000,0.05,0.25,0.7226417198559615
7,10000,8.925,1000,0.05,0.25,1.25988553360571
8,100000,14.565,1000,0.05,0.25,2.304850685709833
9,1000000,25.585,1000,0.05,0.25,3.0461731490956576
10,100,1.9899999999999998,1000,0.1,0.25,0.3039108570703359
11,1000,3.96,1000,0.1,0.25,0.6166859067123946
12,10000,8.985,1000,0.1,0.25,1.4300349646075092
13,100000,15.42,1000,0.1,0.25,2.1298547854337806
14,1000000,39.135,1000,0.1,0.25,4.345248083196472
15,100,2.0199999999999996,1000,0.5,0.25,0.3408532008396181
16,1000,4.16,1000,0.5,0.25,0.7119934503679328
17,10000,9.97,1000,0.5,0.25,1.4174433775792301
18,100000,25.89,1000,0.5,0.25,3.1667081016419916
19,1000000,139.29,1000,0.5,0.25,10.21605298995005
20,100,2.0149999999999997,1000,1.0,0.25,0.349838440817139
21,1000,4.55,1000,1.0,0.25,0.6999641053252079
22,10000,11.685,1000,1.0,0.25,1.5387049961986323
23,100000,33.885,1000,1.0,0.25,3.6809676191275207
24,1000000,103.095,1000,1.0,0.25,10.706029625951855
25,100,1.8599999999999997,1000,0.01,0.5,0.3144749153140978
26,1000,3.345,1000,0.01,0.5,0.5170218155831964
27,10000,5.885,1000,0.01,0.5,0.8807117952722436
28,100000,6.815,1000,0.01,0.5,1.0078959625659705
29,1000000,12.155,1000,0.01,0.5,1.5948960678792468
30,100,1.8599999999999997,1000,0.05,0.5,0.29806747743678386
31,1000,3.47,1000,0.05,0.5,0.6253441263671624
32,10000,6.12,1000,0.05,0.5,0.9218726843936509
33,100000,9.035,1000,0.05,0.5,1.2892189213379077
34,1000000,32.715,1000,0.05,0.5,3.3360788525682006
35,100,1.8649999999999998,1000,0.1,0.5,0.32294965925366803
36,1000,3.51,1000,0.1,0.5,0.6179069875200721
37,10000,6.185,1000,0.1,0.5,0.9408512130114547
38,100000,12.35,1000,0.1,0.5,1.7472160195852937
39,1000000,55.085,1000,0.1,0.5,5.290341536029522
40,100,1.9449999999999996,1000,0.5,0.5,0.288776660758786
41,1000,4.04,1000,0.5,0.5,0.6934003317712666
42,10000,8.89,1000,0.5,0.5,1.0456418288165668
43,100000,34.7,1000,0.5,0.5,3.3893121995368984
44,1000000,258.555,1000,0.5,0.5,11.924257401317046
45,100,2.005,1000,1.0,0.5,0.3232607112489637
46,1000,4.53,1000,1.0,0.5,0.7428723285211343
47,10000,11.72,1000,1.0,0.5,1.5696877390073318
48,100000,34.35,1000,1.0,0.5,4.098964203025984
49,1000000,103.79,1000,1.0,0.5,12.43337621972027
50,100,1.7299999999999998,1000,0.01,0.75,0.4146803576189435
51,1000,2.85,1000,0.01,0.75,0.5087179669023361
52,10000,3.73,1000,0.01,0.75,0.6703333004322116
53,100000,4.945,1000,0.01,0.75,0.7242913708927843
54,1000000,14.31,1000,0.01,0.75,1.8738882801362948
55,100,1.7199999999999998,1000,0.05,0.75,0.38515153971224564
56,1000,2.87,1000,0.05,0.75,0.4840158641862058
57,10000,4.245,1000,0.05,0.75,0.7053100818489616
58,100000,9.61,1000,0.05,0.75,1.4416280578867882
59,1000000,41.27,1000,0.05,0.75,4.106264364988679
60,100,1.7649999999999997,1000,0.1,0.75,0.3707591017868461
61,1000,2.975,1000,0.1,0.75,0.5154643708229888
62,10000,4.85,1000,0.1,0.75,0.7941368058034197
63,100000,13.91,1000,0.1,0.75,1.7938756784539844
64,1000000,77.3,1000,0.1,0.75,5.8464437500597795
65,100,1.9199999999999997,1000,0.5,0.75,0.24474373840292046
66,1000,3.76,1000,0.5,0.75,0.6817064016792362
67,10000,9.435,1000,0.5,0.75,1.2743211810065032
68,100000,46.93,1000,0.5,0.75,3.6841504887993657
69,1000000,379.885,1000,0.5,0.75,13.569540787584879
70,100,2.0199999999999996,1000,1.0,0.75,0.39545152616691054
71,1000,4.575,1000,1.0,0.75,0.7328439816956525
72,10000,11.595,1000,1.0,0.75,1.4668788867325442
73,100000,33.98,1000,1.0,0.75,3.894281337509964
74,1000000,104.875,1000,1.0,0.75,13.669809562219097
