,nBalls,meanGap,nBins,batchPercentage,beta
0,100,1.56,100,0.01,0
1,1000,2.015,100,0.01,0
2,10000,3.235,100,0.01,0
3,100,1.675,100,0.05,0
4,1000,2.515,100,0.05,0
5,10000,7.445,100,0.05,0
6,100,1.83,100,0.1,0
7,1000,3.27,100,0.1,0
8,10000,12.3,100,0.1,0
9,100,2.56,100,0.5,0
10,1000,7.815,100,0.5,0
11,10000,49.545,100,0.5,0
12,100,3.22,100,1.0,0
13,1000,8.815,100,1.0,0
14,10000,25.42,100,1.0,0
0,100,1.1800000000000002,1000,0.01,0
1,1000,2.01,1000,0.01,0
2,10000,2.38,1000,0.01,0
3,100000,4.585,1000,0.01,0
4,1000000,16.505,1000,0.01,0
5,100,1.3,1000,0.05,0
6,1000,2.095,1000,0.05,0
7,10000,3.51,1000,0.05,0
8,100000,10.6,1000,0.05,0
9,1000000,52.205,1000,0.05,0
10,100,1.405,1000,0.1,0
11,1000,2.23,1000,0.1,0
12,10000,4.685,1000,0.1,0
13,100000,16.29,1000,0.1,0
14,1000000,102.7,1000,0.1,0
15,100,1.8849999999999998,1000,0.5,0
16,1000,3.56,1000,0.5,0
17,10000,10.855,1000,0.5,0
18,100000,58.69,1000,0.5,0
19,1000000,503.25,1000,0.5,0
20,100,2.05,1000,1.0,0
21,1000,4.515,1000,1.0,0
22,10000,11.64,1000,1.0,0
23,100000,33.62,1000,1.0,0
24,1000000,103.745,1000,1.0,0
0,100,0.99,10000,0.01,0
1,1000,1.8899999999999997,10000,0.01,0
2,10000,2.15,10000,0.01,0
3,100000,3.08,10000,0.01,0
4,1000000,5.875,10000,0.01,0
5,10000000,19.795,10000,0.01,0
6,100000000,100.95,10000,0.01,0
7,100,1.02,10000,0.05,0
8,1000,1.8999999999999997,10000,0.05,0
9,10000,2.625,10000,0.05,0
10,100000,4.49,10000,0.05,0
11,1000000,13.115,10000,0.05,0
12,10000000,60.225,10000,0.05,0
13,100000000,497.41,10000,0.05,0
14,100,1.06,10000,0.1,0
15,1000,1.9049999999999998,10000,0.1,0
16,10000,3.045,10000,0.1,0
17,100000,5.98,10000,0.1,0
18,1000000,20.05,10000,0.1,0
19,10000000,114.07,10000,0.1,0
20,100000000,1008.525,10000,0.1,0
21,100,1.185,10000,0.5,0
22,1000,2.2399999999999993,10000,0.5,0
23,10000,4.535,10000,0.5,0
24,100000,13.25,10000,0.5,0
25,1000000,66.775,10000,0.5,0
26,10000000,526.55,10000,0.5,0
27,100000000,5020.205,10000,0.5,0
28,100,1.455,10000,1.0,0
29,1000,2.7249999999999996,10000,1.0,0
30,10000,5.7,10000,1.0,0
31,100000,14.275,10000,1.0,0
32,1000000,41.09,10000,1.0,0
33,10000000,125.605,10000,1.0,0
34,100000000,385.98,10000,1.0,0
0,100,1.6,100,0.01,0
1,1000,2.055,100,0.01,0
2,10000,3.29,100,0.01,0
3,100,1.73,100,0.05,0
4,1000,2.565,100,0.05,0
5,10000,7.725,100,0.05,0
6,100,1.85,100,0.1,0
7,1000,3.215,100,0.1,0
8,10000,12.21,100,0.1,0
9,100,2.535,100,0.5,0
10,1000,7.73,100,0.5,0
11,10000,50.085,100,0.5,0
12,100,3.215,100,1.0,0
13,1000,8.63,100,1.0,0
14,10000,25.44,100,1.0,0
0,100,1.1850000000000003,1000,0.01,0
1,1000,2.015,1000,0.01,0
2,10000,2.425,1000,0.01,0
3,100000,4.69,1000,0.01,0
4,1000000,16.35,1000,0.01,0
5,100,1.3200000000000003,1000,0.05,0
6,1000,2.1,1000,0.05,0
7,10000,3.525,1000,0.05,0
8,100000,10.53,1000,0.05,0
9,1000000,52.36,1000,0.05,0
10,100,1.405,1000,0.1,0
11,1000,2.255,1000,0.1,0
12,10000,4.535,1000,0.1,0
13,100000,16.305,1000,0.1,0
14,1000000,101.725,1000,0.1,0
15,100,1.8499999999999996,1000,0.5,0
16,1000,3.59,1000,0.5,0
17,10000,10.835,1000,0.5,0
18,100000,59.02,1000,0.5,0
19,1000000,503.99,1000,0.5,0
20,100,2.0399999999999996,1000,1.0,0
21,1000,4.59,1000,1.0,0
22,10000,11.605,1000,1.0,0
23,100000,33.66,1000,1.0,0
24,1000000,104.065,1000,1.0,0
0,100,0.995,10000,0.01,0
1,1000,1.8699999999999997,10000,0.01,0
2,10000,2.165,10000,0.01,0
3,100000,3.115,10000,0.01,0
4,1000000,5.935,10000,0.01,0
5,10000000,19.87,10000,0.01,0
6,100000000,101.265,10000,0.01,0
7,100,1.015,10000,0.05,0
8,1000,1.8999999999999997,10000,0.05,0
9,10000,2.615,10000,0.05,0
10,100000,4.485,10000,0.05,0
11,1000000,13.095,10000,0.05,0
12,10000000,60.545,10000,0.05,0
13,100000000,496.59,10000,0.05,0
14,100,1.05,10000,0.1,0
15,1000,1.9049999999999998,10000,0.1,0
16,10000,3.01,10000,0.1,0
17,100000,5.915,10000,0.1,0
18,1000000,19.885,10000,0.1,0
19,10000000,114.23,10000,0.1,0
20,100000000,1009.99,10000,0.1,0
21,100,1.21,10000,0.5,0
22,1000,2.2849999999999993,10000,0.5,0
23,10000,4.565,10000,0.5,0
24,100000,13.085,10000,0.5,0
25,1000000,67.575,10000,0.5,0
26,10000000,529.52,10000,0.5,0
27,100000000,5019.905,10000,0.5,0
28,100,1.395,10000,1.0,0
29,1000,2.7499999999999996,10000,1.0,0
30,10000,5.73,10000,1.0,0
31,100000,14.375,10000,1.0,0
32,1000000,40.515,10000,1.0,0
33,10000000,124.585,10000,1.0,0
34,100000000,389.525,10000,1.0,0
0,100,2.84,100,0.01,0.25
1,1000,6.395,100,0.01,0.25
2,10000,9.615,100,0.01,0.25
3,100,2.89,100,0.05,0.25
4,1000,6.28,100,0.05,0.25
5,10000,10.67,100,0.05,0.25
6,100,2.755,100,0.1,0.25
7,1000,6.525,100,0.1,0.25
8,10000,11.145,100,0.1,0.25
9,100,3.04,100,0.5,0.25
10,1000,7.385,100,0.5,0.25
11,10000,19.1,100,0.5,0.25
12,100,3.2,100,1.0,0.25
