,nBalls,meanGap,nBins,batchPercentage,std
0,100,3.35,100,0.01,0.7941368058034197
1,1000,8.595,100,0.01,1.5854156280193024
2,10000,26.185,100,0.01,4.942968713080477
3,100,3.31,100,0.05,0.8106700498033963
4,1000,8.595,100,0.05,1.601185176626753
5,10000,25.865,100,0.05,4.249359987281324
6,100,3.26,100,0.1,0.8097397063006105
7,1000,8.815,100,0.1,1.6352815441517146
8,10000,25.995,100,0.1,4.500695088695416
9,100,3.24,100,0.5,0.8035098883669807
10,1000,8.685,100,0.5,1.6520962776281425
11,10000,26.23,100,0.5,5.003225090532372
12,100,3.245,100,1.0,0.7667558756633832
13,1000,8.6,100,1.0,1.5170720278511638
14,10000,25.995,100,1.0,4.807341015383759
