,nBalls,meanGap,nBins,batchPercentage,std
0,100,1.36,10000,0.01,0.5043529114583185
1,1000,2.7049999999999996,10000,0.01,0.46697465309496816
2,10000,5.67,10000,0.01,0.7576079786051829
3,100000,14.36,10000,0.01,1.3892624846501405
4,1000000,40.51,10000,0.01,3.052291338004991
5,10000000,125.385,10000,0.01,10.300352484577052
6,100000000,386.935,10000,0.01,32.57663211258946
7,100,1.345,10000,0.05,0.47971411084176324
8,1000,2.7049999999999996,10000,0.05,0.4449323815149927
9,10000,5.665,10000,0.05,0.7248461975138252
10,100000,14.2,10000,0.05,1.4106557867685932
11,1000000,40.83,10000,0.05,3.5572983933452202
12,10000000,123.89,10000,0.05,10.449587041923412
13,100000000,386.04,10000,0.05,29.1409397902555
14,100,1.4349999999999996,10000,0.1,0.49821288662780494
15,1000,2.7399999999999993,10000,0.1,0.43049579924295334
16,10000,5.84,10000,0.1,0.6683061916735066
17,100000,14.14,10000,0.1,1.2800753746651485
18,1000000,40.86,10000,0.1,3.538787232284089
19,10000000,124.32,10000,0.1,11.078867565444734
20,100000000,387.73,10000,0.1,27.684095537485838
21,100,1.345,10000,0.5,0.47971411084176324
22,1000,2.7399999999999993,10000,0.5,0.453240703907308
23,10000,5.7,10000,0.5,0.6799349658525767
24,100000,14.16,10000,0.5,1.357798987498614
25,1000000,40.435,10000,0.5,3.5310218886165865
26,10000000,124.05,10000,0.5,9.394080248677513
27,100000000,385.445,10000,0.5,30.569090951613855
28,100,1.36,10000,1.0,0.4840158641862058
29,1000,2.719999999999999,10000,1.0,0.4104171183750459
30,10000,5.66,10000,1.0,0.7119934503679328
31,100000,14.125,10000,1.0,1.2438289885526141
32,1000000,40.495,10000,1.0,3.0572387120919373
33,10000000,123.995,10000,1.0,10.098757324418061
34,100000000,387.295,10000,1.0,30.759040424551543
