,nBalls,meanGap,nBins,batchPercentage,std
0,100,1.9999999999999998,1000,0.01,0.3170213124741207
1,1000,4.49,1000,0.01,0.6872127083608562
2,10000,11.75,1000,0.01,1.5811388300841898
3,100000,33.905,1000,0.01,4.100003064099848
4,1000000,104.27,1000,0.01,11.696200473984625
5,100,2.09,1000,0.05,0.41805964807277646
6,1000,4.535,1000,0.05,0.7150745823279255
7,10000,11.635,1000,0.05,1.4112879466436705
8,100000,34.085,1000,0.05,3.6557622994321926
9,1000000,102.555,1000,0.05,10.37570485587757
10,100,1.9949999999999997,1000,0.1,0.3263549259448097
11,1000,4.435,1000,0.1,0.6226664980864122
12,10000,11.465,1000,0.1,1.4279250152743423
13,100000,33.72,1000,0.1,3.5897117085852126
14,1000000,102.28,1000,0.1,9.857864243191115
15,100,2.01,1000,0.5,0.34422734102850955
16,1000,4.515,1000,0.5,0.7087216887896151
17,10000,11.655,1000,0.5,1.5646776282678838
18,100000,34.305,1000,0.5,4.2381344857847525
19,1000000,103.875,1000,0.5,11.720333017032868
20,100,2.05,1000,1.0,0.3850210462171526
21,1000,4.54,1000,1.0,0.7423986657413066
22,10000,11.91,1000,1.0,1.524308888624513
23,100000,33.74,1000,1.0,3.9293253861127035
24,1000000,103.875,1000,1.0,12.33654435541679
