,nBalls,meanGap,nBins,batchPercentage,std
0,100,1.6,100,0.01,0.4911273054420349
1,1000,2.055,100,0.01,0.33546637453284506
2,10000,3.29,100,0.01,0.7803491036825059
3,100,1.73,100,0.05,0.4562244003969844
4,1000,2.565,100,0.05,0.5979655626123898
5,10000,7.725,100,0.05,1.7903636530186406
6,100,1.85,100,0.1,0.4566647715423636
7,1000,3.215,100,0.1,0.8012396174822581
8,10000,12.21,100,0.1,2.269726479436958
9,100,2.535,100,0.5,0.6409595507741835
10,1000,7.73,100,0.5,1.7442223361111235
11,10000,50.085,100,0.5,5.547218507128519
12,100,3.215,100,1.0,0.6936720439246582
13,1000,8.63,100,1.0,1.6543227978837716
14,10000,25.44,100,1.0,4.328983772493559
