,nBalls,meanGap,nBins,batchPercentage
0,100,0.995,10000,0.01
1,1000,1.8699999999999997,10000,0.01
2,10000,2.165,10000,0.01
3,100000,3.115,10000,0.01
4,1000000,5.935,10000,0.01
5,10000000,19.87,10000,0.01
6,100000000,101.265,10000,0.01
7,100,1.015,10000,0.05
8,1000,1.8999999999999997,10000,0.05
9,10000,2.615,10000,0.05
10,100000,4.485,10000,0.05
11,1000000,13.095,10000,0.05
12,10000000,60.545,10000,0.05
13,100000000,496.59,10000,0.05
14,100,1.05,10000,0.1
15,1000,1.9049999999999998,10000,0.1
16,10000,3.01,10000,0.1
17,100000,5.915,10000,0.1
18,1000000,19.885,10000,0.1
19,10000000,114.23,10000,0.1
20,100000000,1009.99,10000,0.1
21,100,1.21,10000,0.5
22,1000,2.2849999999999993,10000,0.5
23,10000,4.565,10000,0.5
24,100000,13.085,10000,0.5
25,1000000,67.575,10000,0.5
26,10000000,529.52,10000,0.5
27,100000000,5019.905,10000,0.5
28,100,1.395,10000,1.0
29,1000,2.7499999999999996,10000,1.0
30,10000,5.73,10000,1.0
31,100000,14.375,10000,1.0
32,1000000,40.515,10000,1.0
33,10000000,124.585,10000,1.0
34,100000000,389.525,10000,1.0
