,nBalls,meanGap,nBins,beta
0,10,1.0020000000000002,10000,0.0
1,100,1.4029999999999996,10000,0.0
2,1000,2.7159999999999993,10000,0.0
3,10000,5.691,10000,0.0
4,100000,14.351,10000,0.0
5,1000000,40.873,10000,0.0
6,10000000,124.68,10000,0.0
7,100000000,386.456,10000,0.0
0,10,1.036,1000,0.0
1,100,2.0359999999999996,1000,0.0
2,1000,4.488,1000,0.0
3,10000,11.814,1000,0.0
4,100000,33.828,1000,0.0
5,1000000,104.161,1000,0.0
0,10,1.297,100,0.0
1,100,3.243,100,0.0
2,1000,8.845,100,0.0
3,10000,25.913,100,0.0
0,10,0.9990000000000002,10000,1.0
1,100,0.9940000000000001,10000,1.0
2,1000,1.8599999999999997,10000,1.0
3,10000,2.056,10000,1.0
4,100000,2.505,10000,1.0
5,1000000,2.52,10000,1.0
6,10000000,2.513,10000,1.0
7,100000000,2.535,10000,1.0
0,10,0.9900000000000001,1000,1.0
1,100,1.173,1000,1.0
2,1000,2.006,1000,1.0
3,10000,2.086,1000,1.0
4,100000,2.058,1000,1.0
5,1000000,2.082,1000,1.0
0,10,0.9240000000000003,100,1.0
1,100,1.569,100,1.0
2,1000,1.895,100,1.0
3,10000,1.907,100,1.0
0,10,1.183,100,0.25
1,100,2.824,100,0.25
2,1000,6.295,100,0.25
3,10000,9.672,100,0.25
0,10,1.133,100,0.5
1,100,2.457,100,0.5
2,1000,4.26,100,0.5
3,10000,4.578,100,0.5
0,10,1.012,100,0.75
1,100,2.064,100,0.75
2,1000,2.737,100,0.75
3,10000,2.743,100,0.75
0,10,1.02,1000,0.25
1,100,1.9639999999999995,1000,0.25
2,1000,3.984,1000,0.25
3,10000,8.724,1000,0.25
4,100000,13.812,1000,0.25
5,1000000,13.888,1000,0.25
0,10,1.01,1000,0.5
1,100,1.8729999999999996,1000,0.5
2,1000,3.413,1000,0.5
3,10000,5.904,1000,0.5
4,100000,6.444,1000,0.5
5,1000000,6.425,1000,0.5
0,10,1.0,1000,0.75
1,100,1.7089999999999996,1000,0.75
2,1000,2.802,1000,0.75
3,10000,3.742,1000,0.75
4,100000,3.778,1000,0.75
5,1000000,3.784,1000,0.75
0,10,1.0000000000000002,10000,0.25
1,100,1.281,10000,0.25
2,1000,2.489999999999999,10000,0.25
3,10000,5.092,10000,0.25
4,100000,10.803,10000,0.25
5,1000000,17.704,10000,0.25
6,10000000,18.243,10000,0.25
7,100000000,18.189,10000,0.25
0,10,0.9990000000000002,10000,0.5
1,100,1.211,10000,0.5
2,1000,2.239999999999999,10000,0.5
3,10000,4.337,10000,0.5
4,100000,7.49,10000,0.5
5,1000000,8.241,10000,0.5
6,10000000,8.246,10000,0.5
7,100000000,8.275,10000,0.5
0,10,1.0000000000000002,10000,0.75
1,100,1.091,10000,0.75
2,1000,2.0169999999999995,10000,0.75
3,10000,3.479,10000,0.75
4,100000,4.694,10000,0.75
5,1000000,4.777,10000,0.75
6,10000000,4.759,10000,0.75
7,100000000,4.761,10000,0.75
