,nBalls,meanGap,nBins,beta,std
0,10,1.183,100,0.25,0.4616536841877514
1,100,2.824,100,0.25,0.6967851243457408
2,1000,6.295,100,0.25,1.327304312031245
3,10000,9.672,100,0.25,2.326333559021111
0,10,1.133,100,0.5,0.42766095670974436
1,100,2.457,100,0.5,0.5954036492208504
2,1000,4.26,100,0.5,0.9733177011373766
3,10000,4.578,100,0.5,1.0653877468091377
0,10,1.012,100,0.75,0.3186809651635276
1,100,2.064,100,0.75,0.44283190953238694
2,1000,2.737,100,0.75,0.6544152040251352
3,10000,2.743,100,0.75,0.6613534519365484
