,nBalls,meanGap,nBins,beta,std
0,10,1.0000000000000002,10000,0.25,0.031622776601683805
1,100,1.281,10000,0.25,0.4566481441192195
2,1000,2.489999999999999,10000,0.25,0.5080926669005942
3,10000,5.092,10000,0.25,0.6449433711202496
4,100000,10.803,10000,0.25,1.192313974007104
5,1000000,17.704,10000,0.25,2.1920741751111406
6,10000000,18.243,10000,0.25,2.3646442739961
7,100000000,18.189,10000,0.25,2.3504901199119734
0,10,0.9990000000000002,10000,0.5,2.221557105636704e-16
1,100,1.211,10000,0.5,0.41512809027013736
2,1000,2.239999999999999,10000,0.5,0.48024018015013137
3,10000,4.337,10000,0.5,0.5654650747400327
4,100000,7.49,10000,0.5,0.9320776624127245
5,1000000,8.241,10000,0.5,1.1109244587968858
6,10000000,8.246,10000,0.5,1.009208849793987
7,100000000,8.275,10000,0.5,1.0518942349311937
0,10,1.0000000000000002,10000,0.75,0.0316227766016838
1,100,1.091,10000,0.75,0.30147950160813564
2,1000,2.0169999999999995,10000,0.75,0.3215811163834319
3,10000,3.479,10000,0.75,0.5457626378352194
4,100000,4.694,10000,0.75,0.6548227185985477
5,1000000,4.777,10000,0.75,0.6911937128972954
6,10000000,4.759,10000,0.75,0.676296071536998
7,100000000,4.761,10000,0.75,0.678483116473313
