,nBalls,meanGap,nBins,beta,std
0,10,1.0020000000000002,10000,0.0,0.05471740119919801
1,100,1.4029999999999996,10000,0.0,0.4966665658947435
2,1000,2.7159999999999993,10000,0.0,0.47367538290306826
3,10000,5.691,10000,0.0,0.6870160049016261
4,100000,14.351,10000,0.0,1.3362576789618779
5,1000000,40.873,10000,0.0,3.4912834402351325
6,10000000,124.68,10000,0.0,10.190655005908573
7,100000000,386.456,10000,0.0,31.296030187637303
0,10,1.036,1000,0.0,0.20958990416508122
1,100,2.0359999999999996,1000,0.0,0.34874865680834616
2,1000,4.488,1000,0.0,0.6740254522718785
3,10000,11.814,1000,0.0,1.5439520030712703
4,100000,33.828,1000,0.0,3.8521753925873177
5,1000000,104.161,1000,0.0,11.275735950314782
0,10,1.297,100,0.0,0.5154189137552643
1,100,3.243,100,0.0,0.7553287506255283
2,1000,8.845,100,0.0,1.6822023673758175
3,10000,25.913,100,0.0,4.582622767742445
0,10,0.9990000000000002,10000,1.0,2.221557105636704e-16
1,100,0.9940000000000001,10000,1.0,0.06315051850925682
2,1000,1.8599999999999997,10000,1.0,0.1960572325583487
3,10000,2.056,10000,1.0,0.2300367729666649
4,100000,2.505,10000,1.0,0.50022517452166
5,1000000,2.52,10000,1.0,0.4998498272980094
6,10000000,2.513,10000,1.0,0.5000810745080053
7,100000000,2.535,10000,1.0,0.49902306963107823
0,10,0.9900000000000001,1000,1.0,1.110778552818352e-16
1,100,1.173,1000,1.0,0.4457237593730781
2,1000,2.006,1000,1.0,0.07726558075864033
3,10000,2.086,1000,1.0,0.28050433629924987
4,100000,2.058,1000,1.0,0.23386040855752113
5,1000000,2.082,1000,1.0,0.2745020060971346
0,10,0.9240000000000003,100,1.0,0.15312559370479986
1,100,1.569,100,1.0,0.49748013677581787
2,1000,1.895,100,1.0,0.3347940965535191
3,10000,1.907,100,1.0,0.31055989349471297
0,10,1.183,100,0.25,0.4616536841877514
1,100,2.824,100,0.25,0.6967851243457408
2,1000,6.295,100,0.25,1.327304312031245
3,10000,9.672,100,0.25,2.326333559021111
0,10,1.133,100,0.5,0.42766095670974436
1,100,2.457,100,0.5,0.5954036492208504
2,1000,4.26,100,0.5,0.9733177011373766
3,10000,4.578,100,0.5,1.0653877468091377
0,10,1.012,100,0.75,0.3186809651635276
1,100,2.064,100,0.75,0.44283190953238694
2,1000,2.737,100,0.75,0.6544152040251352
3,10000,2.743,100,0.75,0.6613534519365484
0,10,1.02,1000,0.25,0.17067257872642908
1,100,1.9639999999999995,1000,0.25,0.32250272558229337
2,1000,3.984,1000,0.25,0.6724553488494209
3,10000,8.724,1000,0.25,1.2527543228396354
4,100000,13.812,1000,0.25,2.2600362306307753
5,1000000,13.888,1000,0.25,2.2992917915616413
0,10,1.01,1000,0.5,0.1400700525437883
1,100,1.8729999999999996,1000,0.5,0.32307178053085256
2,1000,3.413,1000,0.5,0.5751189109756014
3,10000,5.904,1000,0.5,0.9537786397763863
4,100000,6.444,1000,0.5,1.1207676476951502
5,1000000,6.425,1000,0.5,1.0244141859738298
0,10,1.0,1000,0.75,0.0995485304256668
1,100,1.7089999999999996,1000,0.75,0.4203518712884429
2,1000,2.802,1000,0.75,0.5148408113786833
3,10000,3.742,1000,0.75,0.6479628506757589
4,100000,3.778,1000,0.75,0.6364912576941817
5,1000000,3.784,1000,0.75,0.644794354627706
0,10,1.0000000000000002,10000,0.25,0.031622776601683805
1,100,1.281,10000,0.25,0.4566481441192195
2,1000,2.489999999999999,10000,0.25,0.5080926669005942
3,10000,5.092,10000,0.25,0.6449433711202496
4,100000,10.803,10000,0.25,1.192313974007104
5,1000000,17.704,10000,0.25,2.1920741751111406
6,10000000,18.243,10000,0.25,2.3646442739961
7,100000000,18.189,10000,0.25,2.3504901199119734
0,10,0.9990000000000002,10000,0.5,2.221557105636704e-16
1,100,1.211,10000,0.5,0.41512809027013736
2,1000,2.239999999999999,10000,0.5,0.48024018015013137
3,10000,4.337,10000,0.5,0.5654650747400327
4,100000,7.49,10000,0.5,0.9320776624127245
5,1000000,8.241,10000,0.5,1.1109244587968858
6,10000000,8.246,10000,0.5,1.009208849793987
7,100000000,8.275,10000,0.5,1.0518942349311937
0,10,1.0000000000000002,10000,0.75,0.0316227766016838
1,100,1.091,10000,0.75,0.30147950160813564
2,1000,2.0169999999999995,10000,0.75,0.3215811163834319
3,10000,3.479,10000,0.75,0.5457626378352194
4,100000,4.694,10000,0.75,0.6548227185985477
5,1000000,4.777,10000,0.75,0.6911937128972954
6,10000000,4.759,10000,0.75,0.676296071536998
7,100000000,4.761,10000,0.75,0.678483116473313
