,nBalls,meanGap,nBins,queries,std
0,10,1.04001,1001,1,0.21849186132974543
1,100,2.0350999999999995,1001,1,0.35694825997826013
2,1000,4.200999999999999,1001,1,0.6872858277639851
3,10000,7.96499135,1001,1,1.2000757603855692
4,100000,9.7899,1001,1,1.8738882801362948
5,1000000,9.7890145,1001,1,1.9428708205142666
6,10,1.01001,1001,2,0.14035131799278394
7,100,2.0450999999999997,1001,2,0.36694446610629
8,1000,3.901,1001,2,0.6945588962078794
9,10000,5.279990050000001,1001,2,1.1329245620592232
10,100000,5.3349,1001,2,1.0889001412379096
11,1000000,5.23902,1001,2,1.0381661450479005
